"county"	"party"	"votes"	"p"
"alabama,autauga"	"Republican"	17403	0.000134464644351794
"alabama,baldwin"	"Republican"	61271	0.000473411666039119
"alabama,barbour"	"Republican"	5866	4.53237719799819e-05
"alabama,bibb"	"Republican"	6262	4.83834742820741e-05
"alabama,blount"	"Republican"	20389	0.000157536035952924
"alabama,bullock"	"Republican"	1391	1.07475906621471e-05
"alabama,butler"	"Republican"	5485	4.23799674923629e-05
"alabama,calhoun"	"Republican"	32348	0.000249937500171915
"alabama,chambers"	"Republican"	8067	6.23298446236812e-05
"alabama,cherokee"	"Republican"	7298	5.6388150001689e-05
"alabama,chilton"	"Republican"	13960	0.000107862232669715
"alabama,choctaw"	"Republican"	4223	3.26290980346852e-05
"alabama,clarke"	"Republican"	7466	5.76862055237887e-05
"alabama,clay"	"Republican"	4984	3.85089804889584e-05
"alabama,cleburne"	"Republican"	5216	4.03015333528103e-05
"alabama,coffee"	"Republican"	14919	0.000115271966275034
"alabama,colbert"	"Republican"	14739	0.000113881192501356
"alabama,conecuh"	"Republican"	3470	2.68110277481311e-05
"alabama,coosa"	"Republican"	3248	2.50957400939279e-05
"alabama,covington"	"Republican"	12444	9.61488268869578e-05
"alabama,crenshaw"	"Republican"	4319	3.33708440473136e-05
"alabama,cullman"	"Republican"	28896	0.000223265549801152
"alabama,dale"	"Republican"	13886	0.000107290470118314
"alabama,dallas"	"Republican"	6798	5.25248895192494e-05
"alabama,de kalb"	"Republican"	17957	0.000138745136966337
"alabama,elmore"	"Republican"	25777	0.000199166530911693
"alabama,escambia"	"Republican"	9375	7.24361340457433e-05
"alabama,etowah"	"Republican"	30595	0.000236392908920482
"alabama,fayette"	"Republican"	5883	4.54551228363848e-05
"alabama,franklin"	"Republican"	8048	6.21830407253485e-05
"alabama,geneva"	"Republican"	9417	7.27606479262682e-05
"alabama,greene"	"Republican"	876	6.76843236523425e-06
"alabama,hale"	"Republican"	3200	2.47248670876137e-05
"alabama,henry"	"Republican"	5585	4.31526195888508e-05
"alabama,houston"	"Republican"	29254	0.000226031644306579
"alabama,jackson"	"Republican"	14083	0.000108812594748395
"alabama,jefferson"	"Republican"	149921	0.00115836774957567
"alabama,lamar"	"Republican"	5419	4.18700171086808e-05
"alabama,lauderdale"	"Republican"	24068	0.000185961906582715
"alabama,lawrence"	"Republican"	9277	7.16789349911851e-05
"alabama,lee"	"Republican"	32230	0.000249025770698059
"alabama,limestone"	"Republican"	23598	0.000182330441729221
"alabama,lowndes"	"Republican"	1809	1.39772764254666e-05
"alabama,macon"	"Republican"	1396	1.07862232669715e-05
"alabama,madison"	"Republican"	86965	0.000671936895710727
"alabama,marengo"	"Republican"	5516	4.26194896422741e-05
"alabama,marion"	"Republican"	9536	7.36801039210889e-05
"alabama,marshall"	"Republican"	25727	0.000198780204863449
"alabama,mobile"	"Republican"	98049	0.000757577654085449
"alabama,monroe"	"Republican"	6175	4.77112669581296e-05
